0.5 ; 0.13011375802494202 
0.75 ; 0.13706415648349293 
1.0 ; 0.1415649165479497 
1.25 ; 0.14765790286394972 
1.5 ; 0.15446205172154662 
1.75 ; 0.16209104702781282 
2.0 ; 0.16971065149066952 
2.25 ; 0.1781444108311867 
2.5 ; 0.1872474503820473 
2.75 ; 0.1949904830614482 
3.0 ; 0.20456222438365373 
3.25 ; 0.2142447473755582 
3.5 ; 0.22592205491297102 
3.75 ; 0.24152699829834115 
4.0 ; 0.25743356279906476 
4.25 ; 0.27290319625712184 
4.5 ; 0.2906289596770255 
4.75 ; 0.314001343366065 
5.0 ; 0.33895036602871337 
5.25 ; 0.3689568237256967 
5.5 ; 0.4065383831692774 
5.75 ; 0.45266478431590773 
6.0 ; 0.5073869193350313 
